epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2231.27,0.5271,0.51387,0.90619,0.96066,0.89855,0.94764,0.84264,0.47299,0.48441,0.84705,0.0011882,0.0011882,0.0011882
43,2274.04,0.53057,0.48331,0.89364,0.98411,0.89753,0.96912,0.85327,0.48283,0.48024,0.85356,0.0011684,0.0011684,0.0011684
44,2317,0.55595,0.48632,0.91977,0.91494,0.94203,0.96097,0.842,0.45643,0.48214,0.8428,0.0011486,0.0011486,0.0011486
45,2360.11,0.53601,0.4766,0.9096,0.91068,0.94203,0.96466,0.85051,0.47518,0.50492,0.84936,0.0011288,0.0011288,0.0011288
46,2403.41,0.53125,0.48345,0.90974,0.94875,0.91304,0.95764,0.84705,0.46881,0.50318,0.84472,0.001109,0.001109,0.001109
47,2446.65,0.50625,0.49152,0.91264,0.98458,0.92528,0.94672,0.83857,0.48924,0.5056,0.84945,0.0010892,0.0010892,0.0010892
48,2489.98,0.5505,0.49704,0.92809,0.93972,0.92754,0.9558,0.84048,0.4263,0.45666,0.84251,0.0010694,0.0010694,0.0010694
49,2533.24,0.54259,0.46929,0.91223,0.91098,0.94203,0.95042,0.85444,0.48355,0.47309,0.8474,0.0010496,0.0010496,0.0010496
50,2576.87,0.57986,0.49596,0.92177,0.91281,0.91041,0.94627,0.85542,0.44672,0.55237,0.84507,0.0010298,0.0010298,0.0010298
51,2620.63,0.53774,0.46667,0.90587,0.95297,0.88107,0.9482,0.85951,0.4287,0.51069,0.83866,0.00101,0.00101,0.00101
52,2664.29,0.50612,0.4485,0.88456,0.88804,0.97101,0.96777,0.85894,0.42483,0.46545,0.84051,0.0009902,0.0009902,0.0009902
53,2707.66,0.50278,0.47128,0.89277,0.92728,0.92403,0.96404,0.85788,0.42474,0.47373,0.8419,0.0009704,0.0009704,0.0009704
54,2751.3,0.50806,0.45519,0.90198,0.94112,0.92653,0.95408,0.84409,0.46956,0.48469,0.85261,0.0009506,0.0009506,0.0009506
55,2794.99,0.50091,0.44058,0.89956,0.94026,0.92754,0.94589,0.84497,0.44669,0.45828,0.84836,0.0009308,0.0009308,0.0009308
56,2838.52,0.50726,0.43452,0.90453,0.93948,0.92754,0.94716,0.85659,0.39677,0.41571,0.83715,0.000911,0.000911,0.000911
57,2881.85,0.49206,0.42785,0.88641,0.93745,0.91304,0.94458,0.86783,0.40385,0.45609,0.83551,0.0008912,0.0008912,0.0008912
58,2925.99,0.5113,0.435,0.90349,0.9508,0.91304,0.94087,0.84663,0.42199,0.51018,0.84283,0.0008714,0.0008714,0.0008714
59,2970.06,0.48511,0.42571,0.88781,0.95505,0.92391,0.94085,0.84944,0.38939,0.45307,0.83472,0.0008516,0.0008516,0.0008516
60,3014.04,0.49072,0.43735,0.88835,0.95339,0.91304,0.95756,0.85099,0.40421,0.42569,0.83628,0.0008318,0.0008318,0.0008318
61,3057.82,0.46291,0.42487,0.88841,0.95328,0.91304,0.963,0.8545,0.3792,0.41428,0.83444,0.000812,0.000812,0.000812
62,3101.53,0.48089,0.42789,0.8792,0.95269,0.91304,0.96541,0.85429,0.37282,0.38101,0.83322,0.0007922,0.0007922,0.0007922
63,3145.39,0.47201,0.40801,0.9031,0.95425,0.90701,0.96537,0.86537,0.38884,0.41094,0.83817,0.0007724,0.0007724,0.0007724
64,3189.61,0.46264,0.39093,0.87995,0.93969,0.92754,0.9573,0.85194,0.4169,0.43772,0.84215,0.0007526,0.0007526,0.0007526
65,3233.39,0.45939,0.39715,0.88703,0.95111,0.92754,0.95632,0.8761,0.41011,0.45375,0.84442,0.0007328,0.0007328,0.0007328
66,3278.1,0.46389,0.39764,0.88648,0.95421,0.92754,0.94792,0.87107,0.39011,0.40916,0.84542,0.000713,0.000713,0.000713
67,3321.73,0.45445,0.39308,0.88228,0.95287,0.92754,0.96339,0.88158,0.38456,0.38665,0.84189,0.0006932,0.0006932,0.0006932
68,3365.67,0.45744,0.40277,0.8859,0.95507,0.92754,0.95837,0.87367,0.38727,0.38131,0.83648,0.0006734,0.0006734,0.0006734
69,3409.17,0.45883,0.40345,0.88177,0.95403,0.92754,0.95695,0.86032,0.38622,0.38482,0.83347,0.0006536,0.0006536,0.0006536
70,3452.8,0.45315,0.3813,0.86895,0.9244,0.92754,0.9489,0.85065,0.39512,0.37705,0.83527,0.0006338,0.0006338,0.0006338
71,3496.64,0.44352,0.37606,0.87701,0.93167,0.92754,0.93228,0.8447,0.42607,0.3858,0.841,0.000614,0.000614,0.000614
72,3540.48,0.47624,0.38041,0.89465,0.95415,0.92754,0.94942,0.86844,0.39501,0.39082,0.83885,0.0005942,0.0005942,0.0005942
73,3584.21,0.4281,0.38885,0.88397,0.95378,0.89726,0.94635,0.86767,0.4033,0.45272,0.83888,0.0005744,0.0005744,0.0005744
74,3629.53,0.471,0.38434,0.89398,0.9529,0.87958,0.94619,0.86012,0.39293,0.50859,0.83872,0.0005546,0.0005546,0.0005546
75,3673.98,0.47181,0.39416,0.8803,0.95259,0.86957,0.9441,0.86301,0.39849,0.52316,0.84344,0.0005348,0.0005348,0.0005348
76,3719.36,0.42602,0.34813,0.86918,0.96248,0.88406,0.94825,0.8781,0.38172,0.46193,0.84269,0.000515,0.000515,0.000515
77,3765.61,0.43527,0.36834,0.87798,0.96906,0.90803,0.95624,0.87845,0.37591,0.39253,0.84212,0.0004952,0.0004952,0.0004952
78,3817.22,0.43176,0.38088,0.87321,0.95439,0.92754,0.96095,0.88745,0.37592,0.35995,0.83872,0.0004754,0.0004754,0.0004754
79,3866.72,0.45938,0.38556,0.88715,0.95256,0.92754,0.96348,0.88915,0.37456,0.35687,0.83656,0.0004556,0.0004556,0.0004556
80,3913.9,0.45602,0.37362,0.8669,0.95506,0.92406,0.96078,0.88209,0.36945,0.39465,0.83674,0.0004358,0.0004358,0.0004358
81,3959.04,0.45009,0.382,0.87644,0.95498,0.92234,0.95462,0.87992,0.37525,0.40119,0.84075,0.000416,0.000416,0.000416
82,4004.46,0.41924,0.35224,0.86888,0.95217,0.92754,0.95183,0.87166,0.38151,0.39315,0.84348,0.0003962,0.0003962,0.0003962
83,4050.98,0.43315,0.3658,0.87049,0.95282,0.92754,0.95586,0.8715,0.38415,0.3902,0.84636,0.0003764,0.0003764,0.0003764
84,4101.51,0.42492,0.36782,0.8863,0.95222,0.92754,0.96384,0.87476,0.38626,0.37845,0.84342,0.0003566,0.0003566,0.0003566
85,4147.64,0.42502,0.34918,0.86401,0.96389,0.92754,0.96595,0.87687,0.40774,0.37039,0.84578,0.0003368,0.0003368,0.0003368
86,4194.29,0.42732,0.37563,0.86531,0.967,0.92754,0.96957,0.87517,0.39934,0.36037,0.84104,0.000317,0.000317,0.000317
87,4240.19,0.43149,0.35475,0.87081,0.96788,0.92754,0.96583,0.8817,0.38206,0.36157,0.84003,0.0002972,0.0002972,0.0002972
88,4287.64,0.42058,0.35367,0.8784,0.96743,0.92754,0.96559,0.88882,0.36166,0.34599,0.8362,0.0002774,0.0002774,0.0002774
89,4334.84,0.40347,0.33243,0.86734,0.96761,0.92754,0.96683,0.88797,0.36333,0.34144,0.83553,0.0002576,0.0002576,0.0002576
90,4380.98,0.40899,0.32699,0.87173,0.96772,0.92754,0.96915,0.89805,0.35719,0.33842,0.83551,0.0002378,0.0002378,0.0002378
91,4427.22,0.35986,0.34006,0.83427,0.9681,0.92754,0.96905,0.89505,0.35727,0.3433,0.8375,0.000218,0.000218,0.000218
92,4472.65,0.33421,0.30782,0.80392,0.96741,0.92754,0.95973,0.8834,0.37458,0.34888,0.83899,0.0001982,0.0001982,0.0001982
93,4517.94,0.3378,0.29374,0.8226,0.967,0.92754,0.95441,0.88313,0.37394,0.35519,0.83813,0.0001784,0.0001784,0.0001784
94,4562.98,0.32444,0.29627,0.80299,0.96725,0.92754,0.95312,0.88168,0.3694,0.35433,0.83671,0.0001586,0.0001586,0.0001586
95,4608.06,0.33975,0.31157,0.81803,0.96729,0.92754,0.95303,0.88088,0.36561,0.36277,0.83397,0.0001388,0.0001388,0.0001388
96,4653.32,0.3435,0.29589,0.81166,0.95228,0.92754,0.95371,0.88191,0.35984,0.36606,0.83292,0.000119,0.000119,0.000119
97,4698.85,0.32736,0.28831,0.80141,0.95204,0.92754,0.95498,0.8818,0.35724,0.36041,0.83366,9.92e-05,9.92e-05,9.92e-05
98,4744.31,0.32596,0.27487,0.81537,0.95149,0.92754,0.95409,0.87767,0.35372,0.35782,0.83335,7.94e-05,7.94e-05,7.94e-05
99,4789.73,0.30561,0.28197,0.80475,0.95068,0.92754,0.95416,0.88003,0.35296,0.35935,0.83383,5.96e-05,5.96e-05,5.96e-05
100,4835.22,0.32183,0.27542,0.79063,0.95051,0.92754,0.9559,0.88186,0.35325,0.35687,0.83333,3.98e-05,3.98e-05,3.98e-05
