epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3546.1,0.72289,0.5867,0.93721,0.91093,0.93483,0.96776,0.81682,0.54351,0.59762,0.89812,0.000848969,0.000848969,0.000848969
43,3627.48,0.72295,0.60616,0.95443,0.93725,0.94051,0.9715,0.83077,0.50569,0.56206,0.88095,0.000834822,0.000834822,0.000834822
44,3707.62,0.68336,0.5739,0.9425,0.91632,0.94733,0.97225,0.83553,0.50028,0.53675,0.87267,0.000820675,0.000820675,0.000820675
45,3789.59,0.69074,0.55435,0.93121,0.92738,0.95753,0.97173,0.83279,0.51438,0.54192,0.87738,0.000806528,0.000806528,0.000806528
46,3870.95,0.66768,0.5606,0.92837,0.90543,0.93529,0.97179,0.84101,0.49427,0.57131,0.88185,0.00079238,0.00079238,0.00079238
47,3952.39,0.6994,0.55716,0.92566,0.91575,0.93556,0.97066,0.83196,0.51269,0.55956,0.87795,0.000778233,0.000778233,0.000778233
48,4033.04,0.68863,0.54266,0.91832,0.90904,0.93888,0.96789,0.81709,0.52527,0.54645,0.87614,0.000764086,0.000764086,0.000764086
49,4114.04,0.69656,0.56114,0.92292,0.92444,0.93588,0.96495,0.82567,0.47147,0.52093,0.86873,0.000749939,0.000749939,0.000749939
50,4194.88,0.65709,0.53994,0.92662,0.93103,0.94944,0.97547,0.85145,0.4631,0.51233,0.86059,0.000735792,0.000735792,0.000735792
51,4275.86,0.66334,0.5431,0.92101,0.92486,0.94787,0.96948,0.83719,0.47871,0.53615,0.8709,0.000721645,0.000721645,0.000721645
52,4356.75,0.68877,0.56527,0.94233,0.92034,0.94445,0.97026,0.84423,0.48116,0.50871,0.86272,0.000707498,0.000707498,0.000707498
53,4437.48,0.66088,0.53255,0.91744,0.91158,0.9409,0.97096,0.83078,0.49099,0.50107,0.86246,0.000693351,0.000693351,0.000693351
54,4518.16,0.65706,0.53715,0.91642,0.90361,0.95421,0.97237,0.83816,0.48111,0.48641,0.86128,0.000679204,0.000679204,0.000679204
55,4599.58,0.66484,0.53736,0.92594,0.91825,0.9447,0.97411,0.84506,0.46709,0.4846,0.85855,0.000665057,0.000665057,0.000665057
56,4681.05,0.66358,0.52929,0.91664,0.93034,0.95728,0.97264,0.85112,0.44955,0.46859,0.85534,0.000650909,0.000650909,0.000650909
57,4762.27,0.65619,0.53296,0.91108,0.93356,0.94488,0.97473,0.8501,0.4872,0.47536,0.86733,0.000636762,0.000636762,0.000636762
58,4843.71,0.65881,0.52588,0.92134,0.93814,0.9276,0.97371,0.84903,0.47303,0.47796,0.86374,0.000622615,0.000622615,0.000622615
59,4924.8,0.62677,0.50271,0.9128,0.9229,0.96335,0.97382,0.85388,0.45887,0.48008,0.86697,0.000608468,0.000608468,0.000608468
60,5006.01,0.67049,0.52582,0.9193,0.90037,0.96118,0.96955,0.84887,0.46282,0.48535,0.8659,0.000594321,0.000594321,0.000594321
61,5086.89,0.63027,0.49975,0.91482,0.91869,0.93347,0.97286,0.84657,0.46327,0.47742,0.86653,0.000580174,0.000580174,0.000580174
62,5169.25,0.63688,0.52967,0.90809,0.904,0.97094,0.97748,0.8571,0.47258,0.47001,0.86376,0.000566027,0.000566027,0.000566027
63,5250.45,0.64283,0.49996,0.90633,0.93698,0.94412,0.97423,0.84837,0.48026,0.46591,0.86978,0.00055188,0.00055188,0.00055188
64,5332.73,0.6498,0.51426,0.90806,0.92633,0.96065,0.97295,0.85255,0.46121,0.44988,0.86452,0.000537733,0.000537733,0.000537733
65,5414.46,0.6423,0.50086,0.90844,0.92777,0.95493,0.97373,0.85697,0.45065,0.45191,0.86043,0.000523586,0.000523586,0.000523586
66,5495.54,0.61273,0.49376,0.90856,0.91702,0.9515,0.96976,0.84832,0.46779,0.46841,0.85631,0.000509438,0.000509438,0.000509438
67,5576.96,0.61561,0.49263,0.89957,0.89141,0.96955,0.9711,0.8537,0.42805,0.45453,0.85128,0.000495291,0.000495291,0.000495291
68,5658.49,0.62082,0.48628,0.90449,0.91897,0.95601,0.97089,0.85029,0.43963,0.45594,0.84968,0.000481144,0.000481144,0.000481144
69,5740.28,0.63543,0.48702,0.89602,0.92257,0.95941,0.97605,0.85591,0.44602,0.45283,0.85007,0.000466997,0.000466997,0.000466997
70,5822.28,0.62892,0.48649,0.90201,0.93257,0.94111,0.97893,0.85181,0.44574,0.45504,0.84993,0.00045285,0.00045285,0.00045285
71,5903.7,0.62433,0.48138,0.89949,0.92463,0.95303,0.978,0.85943,0.43758,0.45,0.84962,0.000438703,0.000438703,0.000438703
72,5986.12,0.61883,0.48667,0.89999,0.93509,0.94271,0.97447,0.86123,0.43912,0.42767,0.84645,0.000424556,0.000424556,0.000424556
73,6067.53,0.61116,0.47964,0.90431,0.93725,0.93239,0.97481,0.86158,0.44062,0.42414,0.84432,0.000410409,0.000410409,0.000410409
74,6149.45,0.6197,0.47804,0.90359,0.92083,0.94277,0.97039,0.85753,0.44601,0.4241,0.84667,0.000396262,0.000396262,0.000396262
75,6232,0.60808,0.46536,0.89668,0.92384,0.94508,0.97042,0.85869,0.43356,0.42658,0.84855,0.000382115,0.000382115,0.000382115
76,6313.48,0.64966,0.4932,0.90262,0.92327,0.94429,0.97038,0.85695,0.43027,0.41022,0.85226,0.000367967,0.000367967,0.000367967
77,6395.12,0.58681,0.47071,0.89445,0.92299,0.95206,0.97295,0.85957,0.42982,0.40734,0.84812,0.00035382,0.00035382,0.00035382
78,6476.58,0.58667,0.46909,0.89246,0.93294,0.95292,0.97288,0.86501,0.41928,0.39954,0.8427,0.000339673,0.000339673,0.000339673
79,6558.97,0.60272,0.46344,0.89507,0.93618,0.953,0.97015,0.86057,0.42215,0.40205,0.84444,0.000325526,0.000325526,0.000325526
80,6640.34,0.60221,0.45802,0.89661,0.93039,0.95711,0.97228,0.86062,0.42909,0.40215,0.84354,0.000311379,0.000311379,0.000311379
81,6722.88,0.58573,0.45648,0.88811,0.94587,0.95256,0.97446,0.86259,0.42901,0.4067,0.84366,0.000297232,0.000297232,0.000297232
82,6806.23,0.59275,0.45155,0.8892,0.93525,0.95851,0.9784,0.86269,0.43481,0.40571,0.84743,0.000283085,0.000283085,0.000283085
83,6888.55,0.60207,0.4517,0.89189,0.93634,0.94939,0.9756,0.86307,0.41729,0.39469,0.84137,0.000268938,0.000268938,0.000268938
84,6970.87,0.59957,0.4554,0.895,0.92113,0.94981,0.97289,0.85667,0.41937,0.40816,0.84138,0.000254791,0.000254791,0.000254791
85,7053.2,0.58276,0.44156,0.89343,0.92615,0.94323,0.97072,0.85499,0.42067,0.41296,0.84151,0.000240644,0.000240644,0.000240644
86,7135,0.59035,0.44511,0.88812,0.93076,0.94066,0.97209,0.86368,0.42345,0.41633,0.84457,0.000226497,0.000226497,0.000226497
87,7216.88,0.58087,0.45152,0.88744,0.92858,0.94168,0.97229,0.86713,0.41891,0.41208,0.84174,0.000212349,0.000212349,0.000212349
88,7299.09,0.57102,0.44185,0.88889,0.91694,0.95342,0.97505,0.8636,0.41773,0.40275,0.84396,0.000198202,0.000198202,0.000198202
89,7381.13,0.57142,0.44528,0.89222,0.91818,0.95529,0.97258,0.86287,0.41137,0.39182,0.84194,0.000184055,0.000184055,0.000184055
90,7463.17,0.56005,0.44151,0.88064,0.9442,0.93346,0.97407,0.86727,0.40897,0.38759,0.83995,0.000169908,0.000169908,0.000169908
91,7545.81,0.53447,0.40737,0.85329,0.91893,0.95852,0.97411,0.86338,0.41005,0.38997,0.84153,0.000155761,0.000155761,0.000155761
92,7625.68,0.52481,0.39835,0.85105,0.91914,0.95816,0.97327,0.86242,0.41823,0.38699,0.84309,0.000141614,0.000141614,0.000141614
93,7706.43,0.53736,0.40619,0.8486,0.92087,0.95316,0.97337,0.86136,0.4168,0.3835,0.84447,0.000127467,0.000127467,0.000127467
94,7787.41,0.52183,0.40242,0.85122,0.93588,0.94051,0.97493,0.86327,0.41218,0.38127,0.84632,0.00011332,0.00011332,0.00011332
95,7867.81,0.51827,0.40143,0.85666,0.92682,0.95209,0.97249,0.8599,0.41233,0.38306,0.84518,9.91726e-05,9.91726e-05,9.91726e-05
96,7948.35,0.52458,0.39924,0.85922,0.92658,0.9553,0.97087,0.86131,0.40931,0.38412,0.84146,8.50255e-05,8.50255e-05,8.50255e-05
97,8028.51,0.52,0.39196,0.85708,0.92688,0.95611,0.9687,0.86112,0.41028,0.38432,0.84094,7.08784e-05,7.08784e-05,7.08784e-05
98,8108.79,0.51818,0.38859,0.85387,0.92124,0.96476,0.96969,0.85926,0.40965,0.38577,0.84091,5.67313e-05,5.67313e-05,5.67313e-05
99,8189.1,0.52911,0.39451,0.85338,0.92376,0.95828,0.97008,0.85911,0.40687,0.3848,0.84039,4.25842e-05,4.25842e-05,4.25842e-05
100,8272.53,0.50949,0.38228,0.84303,0.92535,0.95671,0.97053,0.86135,0.40627,0.38373,0.84103,2.84371e-05,2.84371e-05,2.84371e-05
